gender,pace_5k_sec,time_5k_sec,finish_time_sec,age
1,194.0,971.0,4216,35.0
1,194.0,972.0,4227,28.0
1,194.0,969.0,4234,40.0
1,187.0,937.0,4278,24.0
1,198.0,990.0,4302,34.0
1,206.0,1030.0,4456,22.0
1,203.0,1013.0,4462,31.0
1,206.0,1029.0,4483,26.0
1,207.0,1035.0,4490,31.0
1,207.0,1035.0,4496,27.0
1,207.0,1036.0,4505,32.0
0,208.0,1038.0,4520,28.0
1,207.0,1037.0,4533,33.0
1,203.0,1013.0,4539,39.0
1,207.0,1037.0,4550,42.0
1,208.0,1039.0,4561,49.0
1,199.0,994.0,4574,31.0
1,208.0,1039.0,4575,45.0
1,212.0,1062.0,4578,33.0
1,207.0,1035.0,4580,31.0
1,199.0,994.0,4602,30.0
0,208.0,1038.0,4614,38.0
1,208.0,1038.0,4616,42.0
1,207.0,1037.0,4623,30.0
1,220.0,1100.0,4626,25.0
1,207.0,1035.0,4643,32.0
1,219.0,1094.0,4680,47.0
1,214.0,1071.0,4698,53.0
1,219.0,1093.0,4709,35.0
1,214.0,1071.0,4725,31.0
1,219.0,1095.0,4735,28.0
1,208.0,1039.0,4765,44.0
1,221.0,1105.0,4786,34.0
1,220.0,1101.0,4790,45.0
1,218.0,1092.0,4794,34.0
1,230.0,1148.0,4796,32.0
1,220.0,1102.0,4799,37.0
1,225.0,1127.0,4816,39.0
1,220.0,1102.0,4817,35.0
1,229.0,1147.0,4825,41.0
1,207.0,1036.0,4834,36.0
1,220.0,1101.0,4834,22.0
1,214.0,1072.0,4836,32.0
1,212.0,1062.0,4836,36.0
0,214.0,1072.0,4840,33.0
1,225.0,1124.0,4841,45.0
1,225.0,1124.0,4844,43.0
1,226.0,1128.0,4851,35.0
1,219.0,1093.0,4852,44.0
1,221.0,1107.0,4858,43.0
1,226.0,1129.0,4861,29.0
1,219.0,1094.0,4865,33.0
1,227.0,1134.0,4865,49.0
1,226.0,1128.0,4869,23.0
1,227.0,1135.0,4872,49.0
1,219.0,1094.0,4877,49.0
1,221.0,1103.0,4878,40.0
1,232.0,1160.0,4878,44.0
1,221.0,1105.0,4881,31.0
1,227.0,1134.0,4883,49.0
1,224.0,1119.0,4887,44.0
1,225.0,1124.0,4889,31.0
1,225.0,1127.0,4889,22.0
1,226.0,1130.0,4890,23.0
1,212.0,1061.0,4891,45.0
1,219.0,1097.0,4895,20.0
1,226.0,1132.0,4898,38.0
1,225.0,1126.0,4904,27.0
1,232.0,1158.0,4905,28.0
1,229.0,1147.0,4912,43.0
1,224.0,1118.0,4912,30.0
1,214.0,1072.0,4914,33.0
1,226.0,1132.0,4920,39.0
1,234.0,1168.0,4921,45.0
1,231.0,1156.0,4925,47.0
1,225.0,1124.0,4926,33.0
1,223.0,1115.0,4931,44.5
1,225.0,1124.0,4938,22.0
1,226.0,1131.0,4942,35.0
1,229.0,1143.0,4946,41.0
1,229.0,1147.0,4952,39.0
1,228.0,1139.0,4959,37.0
1,227.0,1134.0,4972,21.0
1,228.0,1140.0,4973,38.0
1,233.0,1163.0,4974,39.0
1,227.0,1133.0,4974,39.0
0,228.0,1139.0,4977,30.0
1,225.0,1127.0,4983,38.0
1,237.0,1183.0,4984,37.0
1,234.0,1169.0,4986,51.0
1,235.0,1175.0,4995,30.0
1,229.0,1144.0,4996,48.0
1,232.0,1158.0,4998,36.0
1,239.0,1193.0,5003,43.0
1,236.0,1179.0,5020,34.0
1,221.0,1103.0,5022,33.0
1,231.0,1155.0,5025,41.0
1,236.0,1180.0,5025,53.0
1,226.0,1129.0,5028,37.0
1,227.0,1136.0,5030,46.0
1,227.0,1137.0,5031,30.0
1,228.0,1141.0,5032,35.0
1,230.0,1152.0,5035,42.0
1,226.0,1128.0,5035,45.0
1,233.0,1166.0,5041,36.0
1,232.0,1158.0,5043,34.0
1,234.0,1171.0,5047,22.0
1,226.0,1132.0,5051,41.0
1,240.0,1201.0,5061,50.0
1,232.0,1162.0,5063,29.0
1,242.0,1212.0,5069,47.0
1,226.0,1132.0,5075,36.0
1,230.0,1149.0,5080,38.0
1,229.0,1143.0,5087,44.0
1,229.0,1144.0,5090,45.0
1,232.0,1161.0,5091,23.0
1,240.0,1202.0,5091,23.0
1,235.0,1174.0,5091,49.0
1,233.0,1166.0,5093,37.0
1,240.0,1199.0,5093,29.0
1,238.0,1191.0,5094,35.0
1,236.0,1182.0,5094,35.0
1,236.0,1179.0,5095,34.0
1,239.0,1193.0,5098,27.0
1,236.0,1178.0,5100,40.0
1,240.0,1202.0,5102,35.0
1,229.0,1147.0,5104,44.0
1,229.0,1145.0,5106,43.0
0,238.0,1188.0,5112,22.0
1,226.0,1130.0,5115,26.0
1,238.0,1189.0,5118,43.0
1,240.0,1202.0,5118,23.0
1,240.0,1201.0,5119,48.0
1,233.0,1163.0,5119,46.0
1,233.0,1166.0,5123,30.0
1,233.0,1163.0,5124,41.0
1,245.0,1224.0,5128,33.0
1,234.0,1171.0,5130,29.0
1,236.0,1181.0,5131,43.0
1,234.0,1171.0,5132,42.0
1,234.0,1170.0,5133,28.0
1,243.0,1214.0,5133,41.0
1,226.0,1130.0,5134,50.0
1,227.0,1134.0,5134,42.0
0,234.0,1171.0,5135,26.0
1,229.0,1144.0,5137,35.0
0,236.0,1181.0,5140,33.0
1,240.0,1202.0,5142,37.0
1,227.0,1133.0,5142,29.0
1,235.0,1175.0,5145,33.0
1,225.0,1125.0,5148,39.0
1,246.0,1232.0,5148,67.0
1,235.0,1175.0,5149,41.0
1,236.0,1182.0,5153,43.0
1,241.0,1205.0,5155,37.0
1,238.0,1192.0,5160,49.0
1,,,5160,29.0
1,234.0,1172.0,5166,43.0
0,234.0,1168.0,5169,24.0
1,240.0,1198.0,5173,30.0
1,242.0,1210.0,5178,39.0
0,229.0,1143.0,5182,34.0
1,,,5186,35.0
1,244.0,1220.0,5187,35.0
1,226.0,1131.0,5189,29.0
1,232.0,1161.0,5190,39.0
1,245.0,1226.0,5190,40.0
1,247.0,1235.0,5192,40.0
1,231.0,1155.0,5197,45.0
1,247.0,1235.0,5204,45.0
1,243.0,1213.0,5205,44.5
1,252.0,1258.0,5205,29.0
1,237.0,1187.0,5212,47.0
1,239.0,1195.0,5212,30.0
1,241.0,1207.0,5220,46.0
1,235.0,1173.0,5220,36.0
1,233.0,1163.0,5222,33.0
1,249.0,1247.0,5226,43.0
1,232.0,1162.0,5230,41.0
1,230.0,1149.0,5231,44.0
1,236.0,1181.0,5232,47.0
1,226.0,1131.0,5232,50.0
1,249.0,1247.0,5234,40.0
1,240.0,1199.0,5235,49.0
1,236.0,1182.0,5236,43.0
1,236.0,1179.0,5237,30.0
1,251.0,1256.0,5237,29.0
1,224.0,1122.0,5240,26.0
1,236.0,1178.0,5240,49.0
1,245.0,1223.0,5244,35.0
1,244.0,1218.0,5245,43.0
1,237.0,1183.0,5246,34.0
1,250.0,1249.0,5248,25.0
1,237.0,1186.0,5250,37.0
1,239.0,1195.0,5251,25.0
1,249.0,1246.0,5251,33.0
1,249.0,1247.0,5252,38.0
0,237.0,1186.0,5252,36.0
1,239.0,1195.0,5254,43.0
1,246.0,1228.0,5258,48.0
1,238.0,1190.0,5259,43.0
1,242.0,1212.0,5259,45.0
0,245.0,1224.0,5261,41.0
1,243.0,1215.0,5263,42.0
1,244.0,1220.0,5264,51.0
1,237.0,1183.0,5266,45.0
1,239.0,1196.0,5266,46.0
1,225.0,1127.0,5267,32.0
1,245.0,1225.0,5268,28.0
1,231.0,1155.0,5269,43.0
1,231.0,1153.0,5270,42.0
1,242.0,1212.0,5270,39.0
1,234.0,1172.0,5272,37.0
1,239.0,1195.0,5273,28.0
1,248.0,1239.0,5273,33.0
1,239.0,1194.0,5274,46.0
1,246.0,1231.0,5279,26.0
1,233.0,1165.0,5283,41.0
1,248.0,1240.0,5285,35.0
1,248.0,1239.0,5286,46.0
1,247.0,1237.0,5288,44.0
1,,,5289,41.0
1,247.0,1236.0,5289,46.0
1,251.0,1253.0,5290,33.0
1,242.0,1212.0,5291,49.0
1,246.0,1229.0,5292,34.0
1,252.0,1261.0,5292,36.0
1,247.0,1233.0,5294,33.0
1,249.0,1243.0,5295,37.0
1,243.0,1214.0,5298,41.0
1,247.0,1236.0,5298,33.0
1,246.0,1232.0,5299,30.0
1,247.0,1233.0,5301,34.0
1,245.0,1226.0,5301,49.0
1,251.0,1255.0,5303,31.0
1,248.0,1240.0,5305,45.0
1,243.0,1217.0,5305,23.0
1,244.0,1218.0,5306,37.0
1,249.0,1246.0,5307,32.0
1,246.0,1229.0,5308,45.0
1,248.0,1242.0,5310,40.0
1,248.0,1239.0,5313,44.0
1,225.0,1125.0,5315,43.0
1,,,5316,50.0
1,255.0,1273.0,5318,40.0
1,241.0,1205.0,5320,44.0
1,243.0,1213.0,5320,34.0
1,247.0,1236.0,5321,34.0
1,250.0,1250.0,5322,44.0
1,249.0,1245.0,5322,42.0
1,253.0,1267.0,5326,42.0
1,248.0,1239.0,5327,49.0
1,237.0,1187.0,5327,32.0
1,249.0,1246.0,5328,34.0
1,242.0,1208.0,5329,42.0
1,251.0,1256.0,5334,31.0
1,247.0,1234.0,5336,46.0
1,249.0,1243.0,5336,42.0
1,238.0,1191.0,5336,44.0
1,247.0,1237.0,5341,51.0
1,246.0,1230.0,5342,53.0
1,247.0,1234.0,5343,22.0
1,249.0,1243.0,5345,30.0
1,245.0,1224.0,5348,42.0
1,247.0,1233.0,5349,46.0
1,,,5350,40.0
1,245.0,1223.0,5351,41.0
1,247.0,1236.0,5351,35.0
1,248.0,1242.0,5352,46.0
1,228.0,1140.0,5352,37.0
1,248.0,1238.0,5354,19.0
1,,,5355,29.0
1,245.0,1226.0,5357,24.0
1,259.0,1297.0,5358,24.0
1,251.0,1256.0,5358,35.0
1,256.0,1280.0,5359,41.0
1,246.0,1228.0,5359,41.0
1,247.0,1233.0,5360,34.0
1,258.0,1289.0,5361,30.0
1,251.0,1256.0,5362,50.0
1,250.0,1250.0,5362,38.0
1,244.0,1221.0,5363,50.0
1,248.0,1241.0,5364,56.0
1,244.0,1220.0,5364,46.0
1,244.0,1221.0,5365,39.0
1,246.0,1230.0,5366,40.0
1,248.0,1239.0,5366,29.0
1,250.0,1248.0,5368,37.0
1,249.0,1245.0,5368,52.0
1,254.0,1270.0,5370,41.0
1,246.0,1228.0,5375,39.0
1,246.0,1231.0,5375,26.0
1,250.0,1251.0,5376,48.0
1,246.0,1228.0,5376,55.0
1,245.0,1223.0,5377,36.0
1,239.0,1197.0,5377,41.0
1,247.0,1234.0,5378,36.0
1,250.0,1250.0,5379,38.0
1,252.0,1260.0,5380,53.0
1,246.0,1230.0,5380,21.0
0,251.0,1253.0,5381,35.0
1,240.0,1198.0,5381,48.0
1,249.0,1244.0,5382,40.0
1,254.0,1271.0,5384,30.0
1,239.0,1197.0,5384,34.0
0,243.0,1216.0,5384,44.0
1,249.0,1245.0,5384,45.0
1,247.0,1234.0,5385,46.0
1,253.0,1267.0,5388,38.0
1,249.0,1243.0,5390,36.0
1,236.0,1182.0,5390,23.0
1,250.0,1252.0,5390,31.0
1,257.0,1285.0,5391,43.0
1,259.0,1296.0,5392,30.0
1,247.0,1236.0,5393,31.0
1,250.0,1249.0,5399,52.0
1,252.0,1258.0,5399,41.0
1,254.0,1268.0,5399,37.0
1,254.0,1270.0,5399,42.0
1,256.0,1279.0,5402,24.0
0,238.0,1192.0,5402,26.0
1,244.0,1218.0,5403,27.0
1,252.0,1259.0,5404,31.0
1,253.0,1267.0,5406,28.0
1,248.0,1240.0,5406,35.0
1,250.0,1250.0,5407,42.0
1,247.0,1237.0,5409,36.0
1,255.0,1273.0,5410,45.0
1,248.0,1242.0,5412,33.0
1,242.0,1212.0,5414,26.0
1,236.0,1180.0,5417,42.0
1,261.0,1307.0,5418,32.0
1,241.0,1206.0,5419,30.0
1,247.0,1234.0,5420,43.0
1,263.0,1315.0,5420,42.0
1,257.0,1283.0,5420,44.0
1,250.0,1252.0,5421,44.0
1,261.0,1304.0,5423,53.0
1,260.0,1298.0,5423,41.0
1,255.0,1273.0,5423,40.0
